"fPoint [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB10normalize(GainTotal) []"
0,10,0,-180,-25.2058915389387
0,10,0,-179,-25.2117455810854
0,10,0,-178,-25.2781455662779
0,10,0,-177,-25.4142309250179
0,10,0,-176,-25.6330770731472
0,10,0,-175,-25.9542414023567
0,10,0,-174,-26.4036176345474
0,10,0,-173,-27.0097308436849
0,10,0,-172,-27.7964577395742
0,10,0,-171,-28.7711640312031
0,10,0,-170,-29.9048321635555
0,10,0,-169,-31.1014613759739
0,10,0,-168,-32.1735145317742
0,10,0,-167,-32.8911682928513
0,10,0,-166,-33.1515538596461
0,10,0,-165,-33.0879731020534
0,10,0,-164,-32.9479679749753
0,10,0,-163,-32.934481713184
0,10,0,-162,-33.1673360518892
0,10,0,-161,-33.7056110364509
0,10,0,-160,-34.56309154794
0,10,0,-159,-35.6949388366829
0,10,0,-158,-36.9538341366507
0,10,0,-157,-38.0607092827652
0,10,0,-156,-38.7338422513209
0,10,0,-155,-38.9665034364198
0,10,0,-154,-39.0236582590966
0,10,0,-153,-39.1445342478623
0,10,0,-152,-39.383784544045
0,10,0,-151,-39.6317482846234
0,10,0,-150,-39.7163841895281
0,10,0,-149,-39.5483543781555
0,10,0,-148,-39.1867677281421
0,10,0,-147,-38.7523743460625
0,10,0,-146,-38.3170932702775
0,10,0,-145,-37.8731211729193
0,10,0,-144,-37.3677394984087
0,10,0,-143,-36.7717922426177
0,10,0,-142,-36.1409994350904
0,10,0,-141,-35.6204585709096
0,10,0,-140,-35.39941167811
0,10,0,-139,-35.6719684908677
0,10,0,-138,-36.621698349306
0,10,0,-137,-38.3402108506938
0,10,0,-136,-40.1967080671882
0,10,0,-135,-39.7160585869691
0,10,0,-134,-36.9546037867574
0,10,0,-133,-34.3879384390702
0,10,0,-132,-32.6527706123968
0,10,0,-131,-31.7148159187062
0,10,0,-130,-31.4925979326412
0,10,0,-129,-31.9384034725432
0,10,0,-128,-33.0133361873821
0,10,0,-127,-34.5612080275456
0,10,0,-126,-35.9371941381178
0,10,0,-125,-35.9415335904806
0,10,0,-124,-34.6019903586286
0,10,0,-123,-33.1428697593461
0,10,0,-122,-32.2178252602963
0,10,0,-121,-31.9920877496853
0,10,0,-120,-32.4977150192106
0,10,0,-119,-33.7135606220357
0,10,0,-118,-35.4374551705026
0,10,0,-117,-36.9043196811503
0,10,0,-116,-37.0260702854443
0,10,0,-115,-36.1758380605428
0,10,0,-114,-35.5048924516968
0,10,0,-113,-35.526503386858
0,10,0,-112,-36.3204742862771
0,10,0,-111,-37.6713010888792
0,10,0,-110,-38.7550792047273
0,10,0,-109,-38.4747794658022
0,10,0,-108,-37.3111018865928
0,10,0,-107,-36.4580197143112
0,10,0,-106,-36.4577500380241
0,10,0,-105,-37.4570056212663
0,10,0,-104,-39.1760392847497
0,10,0,-103,-39.8417078963413
0,10,0,-102,-37.9072944924834
0,10,0,-101,-35.5296819519256
0,10,0,-100,-34.0090801184876
0,10,0,-99,-33.4987105355333
0,10,0,-98,-33.9749976050774
0,10,0,-97,-35.3857674574714
0,10,0,-96,-37.3362518971695
0,10,0,-95,-38.2090251771461
0,10,0,-94,-36.8560380309756
0,10,0,-93,-35.0549426053961
0,10,0,-92,-33.960832750753
0,10,0,-91,-33.7651981048919
0,10,0,-90,-34.4779751623445
0,10,0,-89,-36.1184637761365
0,10,0,-88,-38.6215837045693
0,10,0,-87,-41.1446178999954
0,10,0,-86,-41.4443997907249
0,10,0,-85,-40.0179611707297
0,10,0,-84,-39.0155607117828
0,10,0,-83,-39.062507805247
0,10,0,-82,-40.2968231434062
0,10,0,-81,-42.834125637456
0,10,0,-80,-45.9671854081642
0,10,0,-79,-45.6017745591938
0,10,0,-78,-42.7633003542025
0,10,0,-77,-40.9750645952053
0,10,0,-76,-40.5997449231591
0,10,0,-75,-41.5045318101915
0,10,0,-74,-43.0463185633532
0,10,0,-73,-42.8295019443646
0,10,0,-72,-40.3411427245834
0,10,0,-71,-38.1231822321993
0,10,0,-70,-37.053487813921
0,10,0,-69,-37.2722859525918
0,10,0,-68,-38.9871286128381
0,10,0,-67,-42.6119874024227
0,10,0,-66,-45.8474389657769
0,10,0,-65,-41.9091790620699
0,10,0,-64,-38.3656767737419
0,10,0,-63,-36.7073553098607
0,10,0,-62,-36.5695333343153
0,10,0,-61,-37.9269845817724
0,10,0,-60,-41.2993937376476
0,10,0,-59,-49.3326828064933
0,10,0,-58,-53.0917315104731
0,10,0,-57,-43.3490537190069
0,10,0,-56,-40.0549226210745
0,10,0,-55,-39.0959586174763
0,10,0,-54,-39.8484744597378
0,10,0,-53,-42.5273321545702
0,10,0,-52,-48.2827572759826
0,10,0,-51,-50.4211735497264
0,10,0,-50,-43.8047839068529
0,10,0,-49,-40.4748039466197
0,10,0,-48,-39.1221474317839
0,10,0,-47,-39.065413880371
0,10,0,-46,-39.868421928371
0,10,0,-45,-40.8046800218375
0,10,0,-44,-40.8441203208379
0,10,0,-43,-40.0086800115917
0,10,0,-42,-39.2979195129648
0,10,0,-41,-39.3320885293393
0,10,0,-40,-40.2996535466712
0,10,0,-39,-41.9895753459658
0,10,0,-38,-43.0045595144882
0,10,0,-37,-41.7215669374926
0,10,0,-36,-39.7547545163997
0,10,0,-35,-38.6169515192312
0,10,0,-34,-38.7288039547094
0,10,0,-33,-40.4720784444344
0,10,0,-32,-45.0431106765924
0,10,0,-31,-55.2933524678206
0,10,0,-30,-44.8947149491424
0,10,0,-29,-39.895991489515
0,10,0,-28,-38.0986828635551
0,10,0,-27,-38.6789340032319
0,10,0,-26,-42.7853707311025
0,10,0,-25,-57.4500699530401
0,10,0,-24,-39.2240035324485
0,10,0,-23,-33.1904455075998
0,10,0,-22,-30.0030537367128
0,10,0,-21,-28.4163449467342
0,10,0,-20,-28.1222340133975
0,10,0,-19,-29.114195718209
0,10,0,-18,-31.2609392278115
0,10,0,-17,-32.0777269687807
0,10,0,-16,-28.8433567083428
0,10,0,-15,-25.5230060195525
0,10,0,-14,-23.5356489913678
0,10,0,-13,-22.9179166126548
0,10,0,-12,-23.6725172830764
0,10,0,-11,-24.7685836666933
0,10,0,-10,-21.7499915363541
0,10,0,-9,-16.5361031527265
0,10,0,-8,-12.2177592422816
0,10,0,-7,-8.86861001755649
0,10,0,-6,-6.25343409052261
0,10,0,-5,-4.208254618307
0,10,0,-4,-2.63030721805508
0,10,0,-3,-1.4545142117426
0,10,0,-2,-0.639370654015894
0,10,0,-1,-0.159201521920963
0,10,0,0,0
0,10,0,1,-0.157378848074047
0,10,0,2,-0.635965796073441
0,10,0,3,-1.45005632406138
0,10,0,4,-2.62573052292807
0,10,0,5,-4.20513909167541
0,10,0,6,-6.25451303521658
0,10,0,7,-8.8789248861306
0,10,0,8,-12.2475265940852
0,10,0,9,-16.6076048840049
0,10,0,10,-21.8912193991796
0,10,0,11,-24.8123332780313
0,10,0,12,-23.5546789924844
0,10,0,13,-22.7456440845086
0,10,0,14,-23.319529351392
0,10,0,15,-25.2409245873521
0,10,0,16,-28.4834508500733
0,10,0,17,-31.9270563223947
0,10,0,18,-31.6412539771206
0,10,0,19,-29.5695968939287
0,10,0,20,-28.5514944739053
0,10,0,21,-28.8351648734158
0,10,0,22,-30.4432568915112
0,10,0,23,-33.7094465624925
0,10,0,24,-40.0056598324649
0,10,0,25,-57.1163007875495
0,10,0,26,-42.31239443499
0,10,0,27,-38.6002285155332
0,10,0,28,-38.2396909615915
0,10,0,29,-40.3666877287281
0,10,0,30,-46.4504174608834
0,10,0,31,-59.0507897603302
0,10,0,32,-43.8939477624026
0,10,0,33,-39.7364450149415
0,10,0,34,-38.2907299076885
0,10,0,35,-38.504716606456
0,10,0,36,-40.1111474371974
0,10,0,37,-42.7536682414907
0,10,0,38,-44.2023799747071
0,10,0,39,-42.4369806696411
0,10,0,40,-40.4450755239207
0,10,0,41,-39.5614410226496
0,10,0,42,-39.8116524682289
0,10,0,43,-40.9594724025334
0,10,0,44,-42.1495494513546
0,10,0,45,-41.7949808164741
0,10,0,46,-40.2037082215903
0,10,0,47,-38.9548482484313
0,10,0,48,-38.7326550606159
0,10,0,49,-39.8522627603174
0,10,0,50,-42.9075035998522
0,10,0,51,-49.7121002253064
0,10,0,52,-50.2454368412987
0,10,0,53,-43.2475493504685
0,10,0,54,-40.2164094003233
0,10,0,55,-39.3674490306219
0,10,0,56,-40.3601605910043
0,10,0,57,-43.8242758197271
0,10,0,58,-53.7763967176767
0,10,0,59,-48.1917912835509
0,10,0,60,-41.0666136342781
0,10,0,61,-37.9268642794064
0,10,0,62,-36.6638949150205
0,10,0,63,-36.8047814296887
0,10,0,64,-38.3440990158467
0,10,0,65,-41.5133410241321
0,10,0,66,-45.0471455550976
0,10,0,67,-42.7814048842469
0,10,0,68,-39.3187194215541
0,10,0,69,-37.4930264579904
0,10,0,70,-37.0917926882519
0,10,0,71,-37.9355850881455
0,10,0,72,-39.9332573482816
0,10,0,73,-42.5209007661174
0,10,0,74,-43.4053189983746
0,10,0,75,-42.0204447455677
0,10,0,76,-40.9102878129969
0,10,0,77,-41.0405640269862
0,10,0,78,-42.6109402688706
0,10,0,79,-45.4498989911794
0,10,0,80,-46.4511512639898
0,10,0,81,-43.3808244889639
0,10,0,82,-40.6639051469049
0,10,0,83,-39.3184808223282
0,10,0,84,-39.2403009249202
0,10,0,85,-40.316283227984
0,10,0,86,-41.9642725954939
0,10,0,87,-41.7334953354629
0,10,0,88,-38.9607141786793
0,10,0,89,-36.2868679778626
0,10,0,90,-34.5663859016254
0,10,0,91,-33.8173375809044
0,10,0,92,-33.9999299069483
0,10,0,93,-35.10123473948
0,10,0,94,-36.9496524486617
0,10,0,95,-38.4205688916701
0,10,0,96,-37.6136141216253
0,10,0,97,-35.6236724487359
0,10,0,98,-34.1549326039236
0,10,0,99,-33.6161141832453
0,10,0,100,-34.0529500825456
0,10,0,101,-35.4950336287288
0,10,0,102,-37.8678959021193
0,10,0,103,-40.1235404896793
0,10,0,104,-39.7547132589504
0,10,0,105,-37.8344068889571
0,10,0,106,-36.4941230129342
0,10,0,107,-36.1131710523087
0,10,0,108,-36.5676764682656
0,10,0,109,-37.4865158771883
0,10,0,110,-38.038225727668
0,10,0,111,-37.4639670272502
0,10,0,112,-36.2554420522915
0,10,0,113,-35.2805128854521
0,10,0,114,-34.9035139692417
0,10,0,115,-35.120807113318
0,10,0,116,-35.6119044665107
0,10,0,117,-35.6777455360718
0,10,0,118,-34.8366690642664
0,10,0,119,-33.5562220196893
0,10,0,120,-32.5201747411161
0,10,0,121,-32.0563485782507
0,10,0,122,-32.2673338055624
0,10,0,123,-33.1666188142499
0,10,0,124,-34.638432372761
0,10,0,125,-36.1006412567216
0,10,0,126,-36.2572467308366
0,10,0,127,-34.8655764583368
0,10,0,128,-33.1974977018757
0,10,0,129,-31.9966286873107
0,10,0,130,-31.4426684676865
0,10,0,131,-31.5785482125339
0,10,0,132,-32.4539762190676
0,10,0,133,-34.1462364849249
0,10,0,134,-36.639476604975
0,10,0,135,-39.062553370465
0,10,0,136,-38.9812685839963
0,10,0,137,-37.0440661360037
0,10,0,138,-35.4483238275236
0,10,0,139,-34.6540890620051
0,10,0,140,-34.5759884646693
0,10,0,141,-35.0592851731153
0,10,0,142,-35.9157845640257
0,10,0,143,-36.8893553425206
0,10,0,144,-37.671858312632
0,10,0,145,-38.0606855054387
0,10,0,146,-38.1190157822059
0,10,0,147,-38.0774593904691
0,10,0,148,-38.1316697393397
0,10,0,149,-38.3726464188151
0,10,0,150,-38.8100122409836
0,10,0,151,-39.4030227237028
0,10,0,152,-40.068392590523
0,10,0,153,-40.6501286598207
0,10,0,154,-40.8677453340297
0,10,0,155,-40.3941035626336
0,10,0,156,-39.1819401668605
0,10,0,157,-37.5694257608464
0,10,0,158,-35.9437045287152
0,10,0,159,-34.5300738426779
0,10,0,160,-33.41994192472
0,10,0,161,-32.6377901252388
0,10,0,162,-32.178162609659
0,10,0,163,-32.0158981467008
0,10,0,164,-32.0955981690537
0,10,0,165,-32.3013471691527
0,10,0,166,-32.4238909007322
0,10,0,167,-32.2011189353721
0,10,0,168,-31.5010076650486
0,10,0,169,-30.4529610747958
0,10,0,170,-29.3096245913944
0,10,0,171,-28.2618682320401
0,10,0,172,-27.3973100508234
0,10,0,173,-26.7325600067614
0,10,0,174,-26.2464244252195
0,10,0,175,-25.9009502105598
0,10,0,176,-25.6553387066702
0,10,0,177,-25.4762287115395
0,10,0,178,-25.343850147238
0,10,0,179,-25.2524646358138
0,10,0,180,-25.2058915389387
